Feedback id,Feedback 1,Feedback 2,URL
3680955,,"{""description"":""""}",https://seller.shopee.sg/edu/article/14165/how-to-start-selling-on-Shopee
3680915,,"{""description"":""""}",https://seller.shopee.sg/edu/article/6827/Withdrawing-your-income
3680782,,"{""description"":""There is no such option in the product page.""}",https://seller.shopee.sg/edu/article/8318
3680710,,"{""description"":""""}",https://seller.shopee.sg/edu/article/24142/Upsized-Weekend-Incentive?utm_medium=notification&utm_source=appar&__dsrn__=1
3680539,,"{""description"":""I don't see how I have violated any of your policies ""}",https://seller.shopee.sg/edu/article/11695/chat-violations
3680485,,"{""description"":""""}",https://seller.shopee.sg/edu/article/15372/difference-between-automatic-and-manual-withdrawals
3679766,,"{""description"":""""}",https://seller.shopee.sg/edu/article/19689
3679675,,"{""description"":""""}",https://seller.shopee.sg/edu/article/2548/
3679113,I didn't find any useful information.,"{""description"":""""}",https://seller.shopee.sg/edu/article/10047
3678518,The lessons were too difficult.,"{""description"":""""}",https://seller.shopee.sg/edu/article/13107/seller-fees
3677637,,"{""description"":""""}",https://seller.shopee.sg/edu/article/2548/
3677239,,"{""description"":""""}",https://seller.shopee.sg/edu/article/15999/contact-shopee-customer-service
3674871,,"{""description"":""How to sign up??""}",https://seller.shopee.sg/edu/article/21486
3671815,,"{""description"":""""}",https://seller.shopee.sg/edu/article/23794?utm_medium=notification&utm_source=appar&__dsrn__=1
3671027,I didn't find any useful information.,"{""description"":""shoppee you should review your msg prompt. It says Please maintain respectful communication. User may report messages.  politely Iask bout the product""}",https://seller.shopee.sg/edu/article/11695/chat-violations
3670765,There were broken links.,"{""description"":""""}",https://seller.shopee.sg/edu/article/18481/report-intellectual-property-infringement-brand-ip-portal-
3670707,I didn't find any useful information.,"{""description"":""""}",https://seller.shopee.sg/edu/article/15999/contact-shopee-customer-service
3670536,,"{""description"":""""}",https://seller.shopee.sg/edu/article/14260/about-shopee-seller-centre
3670430,I didn't find any useful information.|The lessons were too difficult.,"{""description"":""We trying very hard to opt out of NDD and everytime got rejected.\nWe have a manpower shortage and yet NDD was force down our throat.""}",https://seller.shopee.sg/edu/article/19689
3670313,,"{""description"":""""}",https://seller.shopee.sg/edu/article/20218/Fast-Handover-Rate
3670180,,"{""description"":""""}",https://seller.shopee.sg/edu/article/71/about-shopee-supported-logistics?utm_medium=notification&utm_source=appar&__dsrn__=1
3670136,,"{""description"":""""}",https://seller.shopee.sg/edu/article/225/batch-add-products-for-promotions
3670039,,"{""description"":""""}",https://seller.shopee.sg/edu/article/6959
3670028,,"{""description"":""""}",https://seller.shopee.sg/edu/article/8065
3668051,,"{""description"":""The whitelist form does not work fully.  The chat agent cant help. say will escalate.  Shopee SG Team <help@support.shopee.sg> no longer works.  ""}",https://seller.shopee.sg/edu/article/2554
3667787,,"{""description"":""""}",https://seller.shopee.sg/edu/article/2760/Fulfilment-policy-for-use-of-non-integrated-channels
3666867,,"{""description"":""""}",https://seller.shopee.sg/edu/article/18734/flash-deals-campaigns?utm_medium=notification&utm_source=appar&__dsrn__=1
