Article ID,Feedback 1,Comments,Label(s),Link to Article,Type,feedbacks_per_article
19689,I didn't find any useful information.,It's actually very difficult as seller to work on Saturday. As usual working hours is Monday to Friday ,Constructive Criticism,https://seller.shopee.sg/edu/article/19689,article,2
19689,I didn't find any useful information.|The lessons were too difficult.,We trying very hard to opt out of NDD and everytime got rejected.We have a manpower shortage and yet NDD was force down our throat.,Negative Complaint,https://seller.shopee.sg/edu/article/19689,article,2
20671,I didn't find any useful information.,The response to form is not satisfactory ,Genuine Question,https://seller.shopee.sg/edu/article/20671?utm_medium=notification&utm_source=appar&__dsrn__=1,article,2
20671,I didn't find any useful information.,"NDD is bad on us preferred sellers who do not work on Saturdays. Its a lose situation, no customers getting order = no profit for shopee and seller",Negative Complaint,https://seller.shopee.sg/edu/article/20671,article,2
2554,I didn't find any useful information.,useless junk,Negative Complaint,https://seller.shopee.sg/edu/article/2554,article,1
1104,I didn't find any useful information.,there's wasnt any pricing for Ninja van ,Design Feedback,https://seller.shopee.sg/edu/article/1104/shipping-fee-rates-shopee-supported-logistics,article,1
924,I didn't find any useful information.,"You did not solve my query, this is just a small envelope but I need to pay a postage fee of $0.52, this was not mentioned when I purchased the vouche",Negative Complaint,https://seller.shopee.sg/edu/article/924/dispute-shipping-fee-overcharged?csFillToken=841b44f6-4464-4f8d-b1d5-d85697cfca92,article,1
711,I didn't find any useful information.,"hi. i cannot make withdraw because when i click on ""my balance"" in my income this error code pops up 241802000. can you please check?",Negative Complaint,https://seller.shopee.sg/edu/article/711/Adding-your-bank-account-for-withdrawal-,article,1
6822,I didn't find any useful information.,"Didn't mention about the problem which happened a few times. ""Sorry, no valid pickup days now. Please contact Shopee Customer Service for more help.",Negative Complaint,https://seller.shopee.sg/edu/article/6822,article,1
6867,I didn't find any useful information.|The lessons were too difficult.,try to do discount. yet totally different. cancel all discount. ,Constructive Criticism,https://seller.shopee.sg/edu/article/6867,article,1
7077,I didn't find any useful information.,i want to ban all voucher ,Unknown,https://seller.shopee.sg/edu/article/7077/about-voucher-campaign,article,1
7083,There were broken links.,"signup button for cashback is missing from campaign page, even when cleared cache",Design Feedback,https://seller.shopee.sg/edu/article/7083/about-coins-cashback-programme,article,1
17237,I didn't find any useful information.,Is there other guidelines for frozen products?,Genuine Question,https://seller.shopee.sg/edu/article/17237,article,1
15373,I didn't find any useful information.,"article says ""Earnings from your sales will be credited to your Seller Balance within 2 to 7 working days  "" but now agent says upto 25 days",Negative Complaint,https://seller.shopee.sg/edu/article/15373/withdrawing-your-income-faq,article,1
15140,I didn't find any useful information.,BULLSHIT. A BOOK WAS SO OBVIOUSLY PHOTOCOPIED. ANY IDIOT KNOWS THIS IS ILLEGAL. YET YOU NEED PROOF OF COPYRIGHT WHICH BUYERS WON'T HAVE!?,Negative Complaint,https://seller.shopee.sg/edu/article/15140/brand-ip-portal?csFillToken=eeb3675e-d2da-4f4e-a9e2-6f7a0dff5e13,article,1
11695,I didn't find any useful information.,shoppee you should review your msg prompt. It says Please maintain respectful communication. User may report messages.  politely Iask bout the product,Constructive Criticism,https://seller.shopee.sg/edu/article/11695/chat-violations,article,1
20787,I didn't find any useful information.,System shd send the alert to respective logistic team lead instead of let sellers fill up the form as  often fill up few times also no action fr team!,Constructive Criticism,https://seller.shopee.sg/edu/article/20787?utm_medium=notification&utm_source=appar&__dsrn__=1,article,1
23634,I didn't find any useful information.,"The team should think along the purchase amount & not by product category for benefit to everyone, be it Shopee, Seller & customer. Thabk you ",Constructive Criticism,https://seller.shopee.sg/edu/article/23634?utm_medium=notification&utm_source=appar&__dsrn__=1,article,1
23794,I didn't find any useful information.,"Our operation hous is less than 8 hours, how to complete",Genuine Question,https://seller.shopee.sg/edu/article/23794,article,1
23876,I didn't find any useful information.,We do not have video posting,Negative Complaint,https://seller.shopee.sg/edu/article/23876/Shopee-Video-Auto-Sync-,article,1
