Article ID,Feedback 1,Comments,Label(s),Link to Article,Type,feedbacks_per_article
19689,I didn't find any useful information.|The lessons were too difficult.,We trying very hard to opt out of NDD and everytime got rejected.We have a manpower shortage and yet NDD was force down our throat.,Negative Complaint,https://seller.shopee.sg/edu/article/19689,article,6
19689,I didn't find any useful information.,It's actually very difficult as seller to work on Saturday. As usual working hours is Monday to Friday ,Constructive Criticism,https://seller.shopee.sg/edu/article/19689,article,6
19689,Images/gifs did not load.,SPX didn’t pick up NDD and now showing NDD fail on seller’s page? shame on you,Negative Complaint,https://seller.shopee.sg/edu/article/19689,article,6
19689,I didn't find any useful information.,"The drivers always don't collect the parcels as arranged, even though we wait till 8pm+ on some days. No updates, no calls.",Negative Complaint,https://seller.shopee.sg/edu/article/19689,article,6
19689,I didn't find any useful information.,Shopee's very own dear courier SPX did NOT pick up item in time. What is Shopee expecting merchant to do?,Negative Complaint,https://seller.shopee.sg/edu/article/19689,article,6
19689,I didn't find any useful information.,We do not want ndd. We filled a form to opt out. Do not toggle on for us again! We do not want ndd. ,Negative Complaint,https://seller.shopee.sg/edu/article/19689,article,6
9625,I didn't find any useful information.,Can't find this MOQ feature in seller center,Genuine Question,https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article,5
9625,I didn't find any useful information.,"It says that this only applies for selected sellers, what about others? Thanks.",Genuine Question,https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article,5
9625,I didn't find any useful information.,Could not find Minimum Purchase Quantity in excle,Design Feedback,https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article,5
9625,I didn't find any useful information.,The information is not updated. My account can no longer set minimum purchase quantity.,Design Feedback,https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article,5
9625,I didn't find any useful information.,It does not contain information on what are the criteria that need to be met in order to be qualified for MPQ option.,Constructive Criticism,https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article,5
20218,I didn't find any useful information.,"does not show how the FHR gets tabulated into a % figure. am sending out all orders placed before 2pm within the same day, Mon-sat. But FHR below 90%.",Constructive Criticism,https://seller.shopee.sg/edu/article/20218/Fast-Handover-Rate,article,4
20218,The lessons were too difficult.,If the logistic shippers are ready to pick up all parcels then it will be easily for us sellers to commit the fast hand over period.,Constructive Criticism,https://seller.shopee.sg/edu/article/20218/Fast-Handover-Rate,article,4
20218,I didn't find any useful information.,our problems is never not handling over . it is delivery partner ability to come and pick. many shopee partners do not work 24hours and offday,Constructive Criticism,https://seller.shopee.sg/edu/article/20218/Fast-Handover-Rate,article,4
20218,I didn't find any useful information.,How can uparcel seller get fast hand over rate when order placed before 2pm must be scanned in 2359 on the same day as uparcel can't do that ,Negative Complaint,https://seller.shopee.sg/edu/article/20218/Fast-Handover-Rate,article,4
15157,I didn't find any useful information.,The webform is no longer available. ,Negative Complaint,https://seller.shopee.sg/edu/article/15157/When-to-dispute-return-refund,article,3
15157,The lessons were too difficult.,pls contact us 98160687,Unknown,https://seller.shopee.sg/edu/article/15157/When-to-dispute-return-refund,article,3
17220,I didn't find any useful information.,troublesome when there is no NOA when shopee mis-plot listing ,Negative Complaint,https://seller.shopee.sg/edu/article/17220,article,3
17220,I didn't find any useful information.,Shopee policy needs to be improved. Naturally Plus repeatedly told me they dont provide LOA. and your platform showed biased treatment to other seller,Constructive Criticism,https://seller.shopee.sg/edu/article/17220,article,3
15157,The lessons were too difficult.|I didn't find any useful information.,I don't understand.,Genuine Question,https://seller.shopee.sg/edu/article/15157/When-to-dispute-return-refund,article,3
17220,I didn't find any useful information.,"And CS keep giving me same excuse for the deletion. I appeal and appeal, give reply me with stanrdard message. I am a  member and buy SGD from NP.",Negative Complaint,https://seller.shopee.sg/edu/article/17220,article,3
6823,I didn't find any useful information.,Saturday DTS should not be a working day,Negative Complaint,https://seller.shopee.sg/edu/article/6823,article,3
6823,I didn't find any useful information.|The lessons were too difficult.,Why hasn't the account manager contacted me? I need an account manager who understands Chinese.,Genuine Question,https://seller.shopee.sg/edu/article/6823,article,3
6823,I didn't find any useful information.,This DTS 1 and DTS 2 policy is the worst policy ever. it is super stressful and confusing for both customers and sellers.,Negative Complaint,https://seller.shopee.sg/edu/article/6823,article,3
22213,I didn't find any useful information.|The lessons were too difficult.,This is way too complicated and so much work for the sellers... please simplify.,"Constructive Criticism, Design Feedback",https://seller.shopee.sg/edu/article/22213,article,3
22213,I didn't find any useful information.,Useless implementation. Its going to create more unnecessary issues for logistics. The person who pushed this implementation should reconsider his job,"Constructive Criticism, Design Feedback",https://seller.shopee.sg/edu/article/22213,article,3
22213,I didn't find any useful information.,"Bullshit policy to please and side with customer, treat your sellers like your business partners, not your working slaves.",Negative Complaint,https://seller.shopee.sg/edu/article/22213,article,3
21808,I didn't find any useful information.,To adjustment  the commission fee the seller lost  profit margin and these is no benefit for the seller.,Constructive Criticism,https://seller.shopee.sg/edu/article/21808,article,3
21808,I didn't find any useful information.,"Commission Fee had increased so much that causes seller to earn less, who will bear for our packaging tools for it where things keep increasing!",Negative Complaint,https://seller.shopee.sg/edu/article/21808,article,3
